config,num_leaves,min_child_samples,learning_rate,n_estimators,colsample_bytree,subsample,reg_lambda,score
BASELINE,63,40,0.05,700,0.8,0.8,0.0,0.6418611243313085
rand0,255,40,0.07,1100,0.8,1.0,5.0,0.6284703074724479
rand1,31,20,0.03,500,1.0,1.0,0.0,0.6466669685125016
rand2,63,80,0.03,1100,0.6,0.85,5.0,0.6403100275894232
rand3,63,40,0.03,1100,0.6,1.0,1.0,0.6440735477415479
rand4,63,40,0.05,700,0.8,1.0,5.0,0.6383179373254085
rand5,255,80,0.05,700,1.0,0.85,0.0,0.6330550317441274
rand6,255,20,0.07,700,0.6,0.7,1.0,0.6333545495611399
rand7,31,20,0.05,1100,0.8,1.0,5.0,0.6368739009082872
rand8,255,40,0.05,700,0.6,0.85,1.0,0.6324891315731184
rand9,31,80,0.03,500,0.6,1.0,5.0,0.6455915700823479
rand10,255,20,0.07,700,0.8,0.7,1.0,0.6295292748973083
rand11,255,40,0.03,700,0.6,1.0,5.0,0.6355262849016833
